city,Ncasos,Ncasos/1000H
SÃO JOSÉ DO BONFIM,64,17.1
SÃO JOSÉ DO BREJO DO CRUZ,63,34.98
SÃO JOSÉ DO SABUGI,282,68.1
SÃO JOSÉ DOS CORDEIROS,49,13.51
SÃO JOSÉ DOS RAMOS,276,46.34
SÃO JOÃO DO CARIRI,166,39.54
SÃO JOÃO DO RIO DO PEIXE,467,25.9
SÃO JOÃO DO TIGRE,37,8.37
SÃO MAMEDE,77,9.97
SÃO MIGUEL DE TAIPU,159,21.58
SÃO SEBASTIÃO DE LAGOA DE ROÇA,304,26.7
SÃO SEBASTIÃO DO UMBUZEIRO,26,7.46
SÃO VICENTE DO SERIDÓ,61,5.67
TACIMA,134,12.29
TAPEROÁ,202,13.14
TAVARES,296,20.1
TEIXEIRA,222,14.65
TENÓRIO,53,17.34
TRIUNFO,173,18.3
UIRAÚNA,232,15.23
UMBUZEIRO,92,9.29
VIEIRÓPOLIS,21,3.93
VISTA SERRANA,48,12.64
VÁRZEA,59,20.1
ZABELÊ,35,15.63
ÁGUA BRANCA,265,25.9
